title,ingredients,instruction,list_for_serving,_id
Summery Chicken Pasta Salad,"['2/3 cup', '1/3 cup', '1/3 cup', '1/2 cup finely chopped', '1 Tbsp', '2 tsp minced (2 cloves)', 'and black pepper, to taste']","['In a small mixing bowl whisk together olive oil, mayonnaise, lemon juice, parsley, dill, garlic and season with salt and pepper to taste. Refrigerate until ready to use.', 'Bring a large pot of water to a boil and season the water with salt (I use about 2 Tbsp).', 'Add corn and boil (while turning as needed so all sides cook), 4 minutes. Remove corn and let cool while keeping water boiling.', 'Add pasta to boiling water and cook to al dente according to times listed on pasta package. Reserve 1/2 cup pasta water before draining pasta.', 'Transfer drained pasta to a greased baking sheet and let cool 10 to 20 minutes.', 'Cut corn kernels from corn cobs.', 'In a extra large bowl add cooled pasta, corn, bacon, tomatoes, cheddar cheese, cucumber, green onions, and cooked chicken. ', 'Pour dressing over along with 1/4 cup pasta water then toss to evenly coat. Thin with more pasta water as needed (as it rests it will thicken) and season with more salt as needed.', 'If time allows let flavors meld in fridge for 1 to 2 hours, otherwise it can be served right away.']","['2', 'ears', 'fresh yellow corn', '16 ', 'oz', ' mini bow tie pasta', '12', 'slices (12 oz)', 'cooked, drained and chopped*', '12', 'oz.', 'halved', '8', 'oz.', 'sharp cheddar cheese,', ' cut into 1/4-inch cubes', '1 1/2', 'cups chopped', '(about 3/4 of one medium)', '1', 'cup chopped', '(about 5)', '3 1/2', 'cups', 'cooked shredded rotisserie chicken,', 'chilled', '1/4', 'cup', 'pasta water,', 'or more as needed']",673b98e311e322a5d3ed8b4b
Navajo Tacos,"['1 Tbsp', '3/4 cup diced', '2 cloves garlic finely minced', '1 lb', '2 tsp', '1 tsp', '1/2 tsp', '1 (15 oz) can dark red kidney beans, drained and rinsed', '1 (14.5 oz) can', '1 (4 oz) can diced green chilis (mild if preferred)', 'to taste']","['Using a slotted spoon, spoon mixture over prepared fry bread, then top with lettuce, cheese, tomatoes and sour cream (and any of the other optional toppings listed). Serve immediately.']",[],673b98e311e322a5d3ed8b4c
One Pot Skillet Lasagna,"['1 Tbsp', '1 lb (90 to 95% lean)', '1 Tbsp minced fresh garlic', 'and black pepper', '1 (24 oz) jar (I like to use Classico Four Cheese here)', '1 1/4 cups water, then more if needed', '3 Tbsp chopped  plus more for garnish', '3 Tbsp chopped', '1/4 tsp or more to taste (optional)', '9 (7.5 oz) uncooked lasagna noodles,  broken into 1 1/2-inch pieces', '1 cup (4 oz) shredded mozzarella cheese', '1 cup  (8 oz)', '1/3 cup (1.4 oz) freshly grated']","['Heat olive oil in a 12-inch skillet or ', ' over medium-high heat.', 'Crumble in beef in chunks then season with salt and pepper. Let sear until slightly browned on bottom for a few minutes then turn and crumble up beef. Once beef is nearly cooked through add garlic and continue to toss and cook beef through.', 'Pour in marinara sauce and water. Add parsley, basil, red pepper flakes and season with salt and pepper to taste. Bring to a light simmer.', 'Add lasagna noodles and toss and submerge into liquid. Cover, reduce heat to moderately low. Simmer until pasta is nearly tender, stirring occasionally and adding a little more water as needed, for about 15 minutes.', 'Dollop in half of the ricotta (in about 5 scoops), sprinkle in half of the mozzarella and half of the parmesan. Stir a few times to submerge cheese. Cover with remaining half of the cheeses (again dolloping ricotta).', 'Cover and continue to cook until cheese is melted, about 3 to 5 minutes longer.', 'Let rest about 5 minutes off heat. Sprinkle with parsley if desired and serve.']",[],673b98e311e322a5d3ed8b4d
Biscuits and Sausage Gravy,"['2 cups (283g) (scoop and level to measure)', '1 Tbsp aluminum free baking powder', '2 tsp', '1/4 tsp', '1/2 tsp', '8 Tbsp (113g) divided, 7 Tbsp cold, 1 Tbsp melted', '1 cup (235ml) cold']","['Preheat oven to 450 degrees. Line an 18 by 13-inch baking sheet with parchment paper.', 'In a large mixing bowl whisk together flour, baking powder, sugar, baking soda and salt for 20 seconds.', 'Cut 7 Tbsp cold butter into small cubes. Add to flour mixture and cut butter into mixture with a pastry cutter until there are small clumps of butter about the size of peas, make a well in the center of mixture.', 'Pour buttermilk into well then fold mixture with a rubber spatula until it comes together. Gently turn and press dough to bring together completely, then drop onto a lightly floured surface.', 'Gently roll dough out to a large rectangle, about 10 by 9. Fold in half then repeat gently rolling and folding process twice more.', 'Gently roll and shape final rectangle to 9 1/2-inches by 4 3/4-inches (nearly 1-inch high). ', 'Cut dough into 8 squares (dust knife with flour as needed), when cutting cut straight down in one cut rather then moving side to side downward as this will seal edges.', 'Transfer to baking sheet spacing apart. Bake in preheated oven 10 - 13 minutes until golden brown and cooked through. Brush with 1 Tbsp melted butter after baking.', 'Set a 12-inch oiled cast iron skillet over medium-high heat. Break sausage into chunks and add to pan. Let sear on bottom for a couple of minutes until browned then start to break up and toss sausage.', 'Let cook until no longer pink, tossing occasionally. Melt butter in with sausage near the end.', 'Reduce heat to medium. Sprinkle in flour and season with pepper to taste (I use a fair amount, about 1 tsp), then cook stirring constantly 1 - 2 minutes.', 'While stirring pour in milk, season with salt to taste. Cook stirring frequently until mixture simmers and thickens. If needed pour in more milk to thin to reach desired consistency. Serve warm over halved biscuits.']","['1', 'lb.', 'pork breakfast sausage', '1/3', 'cup (47g)', 'to taste', '3', 'cups  (710ml)', '2', 'Tbsp', 'if needed']",673b98e311e322a5d3ed8b4e
Beef Tenderloin (with Garlic Butter Sauce),"['5 lb. peeled beef tenderloin', 'and black pepper', '1 Tbsp', '6 Tbsp cut into 1 Tbsp pieces', '6 single', '2 single sprigs fresh rosemary', '6 garlic peeled and smashed (can add a few more cloves to taste)']","['Halve the beef tenderloin into two equal portions to make two roasts.', 'Tie each piece snuggly with strands of kitchen twine at 1-inch intervals, while tucking thinner tail end under if there is one to create a roast with even thickness so it cooks evenly.', 'Season each portion liberally with kosher salt (I use 2 Tbsp total, but season to your preference). ', 'Place on a wire rack set over a rimmed baking sheet and let rest in refrigerator uncovered for 12 to 24 hours.', 'Preheat oven to 300 degrees. Insert an oven probe thermometer into one of the tenderloins (if one is smaller in width test this one first, then after test for doneness of the second portion as the smallest will finish first).', 'Transfer roast on the wire rack to a clean rimmed 18 by 13-inch baking sheet covered with aluminum foil. Sprinkle all sides with a fair amount of pepper (1 to 2 tsp total).', 'Bake in oven until probe thermometer registers 125 degrees for medium-rare or 130 degrees for medium in center (this will take about 1 hour to 1 hour 40 minutes depending on thickness of the tenderloin you used and desired doneness). Test both portions.', 'Remove tenderloins from oven and let rest 10 minutes.', 'Preheat vegetable oil a cast iron skillet over medium-high heat.', 'Dab exterior of each tenderloin dry with paper towels. Transfer both to skillet and sear about 1 to 2 minutes per all 4 sides until well browned. Once you turn to the 4th side add the butter, garlic, thyme and rosemary to the skillet around the tenderloins. ', ""Remove the tenderloins to a cutting board and let the butter cook in skillet 1 minute longer if it hasn't yet browned and the garlic isn't toasted. Then pour butter into a dish so it doesn't continue to cook and burn."", 'Cut and remove twine. Slice tenderloins into 1/2-inch thick slices, then remove herbs from garlic butter and drizzle it over the beef. Season lightly with salt and pepper as desired.']",[],673b98e311e322a5d3ed8b4f
Honey Baked Ham,"['1 (8 - 10 lb) fully cooked spiral sliced ham*', '2 Tbsp', '1/2 cup', '1/2  cup packed light brown sugar', '1 Tbsp', '3/4 tsp', '1/4 tsp', '1/4 tsp', '1/8 tsp', '1/2 tsp fresh orange zest (optional)', '1 oven bag']","[""Leave ham's plastic or foil covering intact and place ham in a large container (or a clean sink that plugs up well) and cover with hot tap water. Let rest 45 minutes.\xa0"", 'Drain water then cover with hot tap water again and let rest 45 minutes longer. Near the end adjust oven rack to lowest position and preheat oven to 250 degrees.\xa0', 'Unwrap ham and remove plastic disk below ham bone. Place ham in oven bag and wrap bag so it fits snugly around ham. Tie bag and cut away excess plastic on top. Cut 4 small slits in top of bag.\xa0\xa0', 'Set ham cut-side down in a large roasting pan and bake in preheated oven until center registers 100 degrees on an instant read thermometer, about 1 - 1 1/2 hours (about 10 minutes per pound).\xa0\xa0', ""Near the end of baking, melt butter in a small saucepan over medium heat. Add in brown sugar, honey, mustard, pepper, cinnamon, ginger and cloves and cook, whisking constantly, just until sugar dissolves, about 2 - 3 minutes. Stir in orange zest and let cool just until it's about the consistency of honey, about 10 minutes (when ready to glaze ham rewarm glaze as needed if it has thickened too much).\xa0"", 'Remove ham from oven. Increase oven temperature to 375 degrees. Cut oven bag and roll down to expose ham. Brush all over with 1/2 of the glaze. Bake in oven 5 minutes then remove and brush with remaining glaze. Bake 10 minutes longer. Remove from oven, tent with foil and let rest 10 minutes before carving and serving.', 'Recipe source: cooking method adapted from ']",[],673b98e311e322a5d3ed8b50
Grilled Steak,"['2 (1 lb. each) ribeye steaks,*  1 1/4 to 1 1/2-inches thick (I use boneless)', '1 1/2 tsp or as desired', '1 tsp', '4 Tbsp', '2 tsp minced', '3/4 tsp minced fresh garlic']","['Place steaks on a plate. Sprinkle each side evenly with a fair amount of kosher salt.', 'Let steak rest at room temperature 45 minutes to 60 minutes.***', 'Meanwhile in a small mixing bowl stir together butter, rosemary and garlic. Set aside.', 'Heat a grill over moderately high heat, to about 450 to 500 degrees. ', 'Sprinkle each side of both steaks with pepper.', 'Grill steaks about 3 1/2 to 7 minutes per side to desired doneness.**** Rare steaks will be near lesser time while more well done will be near greater time. Use an instant read food thermometer to test for doneness in center of thickest portion of steak.', 'Let steaks rest off heat 5 minutes.  Brushed with the garlic herb butter, slice and serve.']",[],673b98e311e322a5d3ed8b51
Bulgogi,"['1 1/4 lbs top sirloin steak,* or tenderloin or ribeye', '1/3 cup grated pear, or sweet apple', '1/3 cup thinly sliced light portion only, reserve sliced greens for serving', '1 Tbsp minced (3 cloves)', '2 tsp minced fresh ginger', '3 Tbsp', '1 Tbsp rice wine or mirin', '1 Tbsp', '2 Tbsp', '1/2 tsp', '4 tsp', 'for garnish (optional)']","[""Freeze steak for 1 to 2 hours for easier slicing. Slice the steak into long strips (if steak isn't already narrow) about 1 to 1 1/2-inches wide. Then thinly slice beef against the grain about 1/8-inch thick, cut slices into 2-inch pieces."", 'In a mixing bowl whisk together pear, green onion light portion (1/3 cup), garlic, ginger, soy sauce, rice wine, sesame oil, sugar, and black pepper. ', 'Toss beef with marinade mixture. Cover bowl then transfer to fridge and let steak marinade for at least 1 hour and up to 24 hours.', 'Heat a cast iron skillet over moderately high heat. Once skillet is just smoking add 2 tsp vegetable oil then carefully tilt pan (using hot pads) to coat bottom surface with oil.', ""Quickly add half of the steak and spread out even (be sure pieces aren't overlapping or they won't cook). Let sear until browned on bottom about 30 to 60 seconds. Quickly flip pieces and sear on opposite side until browned about 30 to 60 seconds longer."", 'Transfer beef to a plate. Using a few paper towels that have been balled up and lightly dampened with water wipe skillet clean. Return to moderately high heat and let heat again.', 'Add remaining 2 tsp vegetable oil and remaining half of beef and repeat cooking process.', 'Serve steak right away garnished with a few tablespoons of sliced green onion greens and toasted sesame seeds to taste.']",[],673b98e311e322a5d3ed8b52
Steak Tacos,"['1 1/2 lbs. sirloin steak or New York Steak (preferably prime grade or well marbled with fat)', '3 Tbsp', '3 Tbsp', '2 tsp', '2 tsp minced', '1.5 tsp ancho chili powder', '1 tsp', '1 tsp', '1 tsp', '4 tsp divided']","['Trim away any large chunks of fat and cut steak into strips that are 1/2-inch thick, then cut into pieces that 3/4-inch in size.', 'In a large mixing bowl whisk together lime juice, olive oil, honey, garlic, ancho chili powder, cumin, salt and pepper.', 'Add steak pieces to lime mixture then toss well to coat. Cover and refrigerate 1 hour and up to 6 hours.', 'Heat 2 tsp vegetable oil in a cast iron skillet over medium-high heat.', 'Once oil is just smoking, use tongs to remove half the steak from the bowl (shake off some excess marinade) and transfer to pan and immediately spread steak pieces out into an even single layer in pan (stand back it can splatter).', 'Let cook about 45 seconds until nicely browned on bottom, then very quickly flip each piece and cook to desired doneness, about 45 seconds longer (for food safety USDA recommends internal safe temperature of 145 degrees on an instant read thermometer, I like to go to about 135 degrees). Transfer steak to a plate.', 'Wipe skillet clean using tongs and a ball of paper towels. Return to heat and add remaining 2 tsp oil and let heat. Repeat cooking and transferring process with remaining steak.', 'Serve right away in warmed tortillas with avocado, onion and cilantro.']","['10', '(6-inch)', 'warmed', '1', 'diced', '1/2', 'small', 'or white onion, diced', '1/4', 'cup chopped']",673b98e311e322a5d3ed8b53
Bolognese Sauce,"['6 Tbsp cut into 1 Tbsp pieces, divided*', '1 1/2 cups finely chopped', '1 1/4 cups peeled and finely chopped carrot', '1 cup finely chopped', '1 1/2 Tbsp minced (4 cloves)', '2 lbs. 85% lean ground beef', 'and black pepper', '2 (28 oz each) cans San Marzano tomatoes in puree, well crushed by hand (such as Cento)', '1 1/2 cups', '1 cup such as Sauvignon Blanc', '1/3 cup fresh basil stems (with leaves)', '1 parmesan rind', '1 cup parmesan for serving, or more to taste', 'Unsalted chicken stock or broth, as needed to thin sauce']","['Melt 1 1/2 Tbsp butter in a large pot over medium-high heat.', 'Add onion, carrot and celery and saute 4 minutes. Add garlic and saute 1 minute longer. Transfer mixture to a large plate.', 'Melt 1 1/2 Tbsp butter in now empty pot over medium-high heat. Dab beef dry with paper towels, then break beef into 4 large chunks into pot.', 'Season lightly with salt and pepper. Let sear until browned on bottom, about 3 minutes, turn and sear until browned again on opposite side, about 3 minutes longer. Then break up beef and cook through a few minutes longer.', 'Return vegetables to pot with the beef, pour in milk and stir. Bring to a simmer then reduce heat to medium-low and let simmer until majority of milk has evaporated and just fat remains, about 10 - 20 minutes.', 'Stir in tomatoes, wine, basil and parmesan rind. Bring mixture to a simmer.', 'Reduce heat to very low (it should be at a very low simmer with just be a few bubbles over the surface, on my stovetop I have to transfer to a small burner with a  low flame).', 'Let simmer 4 hours, stirring occasionally and thinning with broth as needed. Season lightly with salt and pepper to taste as it cooks (keep in mind it will reduce and saltiness will become more concentrated so careful not to overdue it you can always add more later).', 'Remove basil stems and parmesan rind. Stir in remaining 3 Tbsp butter until melted (or heavy cream if using instead).', 'Toss sauce with cooked pasta of choice (tagliatelle, pappardelle, spaghetti, or fettuccine are great choices), thin with some of the pasta cooking water.']",[],673b98e311e322a5d3ed8b54
Roasted Tri Tip,"['2 to 2 1/2 lb tri tip*', '2 tsp or to taste', '1 1/2 tsp', '1 tsp ancho chili powder', '1 tsp smoked paprika', '1 tsp', '1 Tbsp']","['In a small mixing bowl whisk together salt, pepper, ancho chili powder, smoked paprika and garlic powder. Rub over entire tri tip coating every surface. ', 'Let it rest at room temperature for 1 hour, or cover and refrigerate up to 24 hours then let rest at room temperature 1 hour. During last 15 minutes of resting preheat oven to 350 degrees.', 'Place roast on an oven safe wire cooling rack then place rack over a rimmed baking sheet. ', 'Insert an oven safe food probe thermometer into roast into center of thickest portion. Set thermometer about 5 degrees shy of desired doneness temperature.', 'Bake tri tip in preheated oven until it is about 5 degrees shy of target temperature,** about 40 to 55 minutes (bake time will vary quite a bit based on thickness of roast and desired doneness). ', 'Near the end of baking preheat a cast iron skillet over medium-high heat on the stovetop for about 5 minutes. Turn on exhaust fan.', 'Add 1 Tbsp vegetable oil to the skillet.', 'Sear the tri tip in the skillet until evenly browned all sides about 4 to 6 minutes total (it should rise about 5 more degrees while searing), and tri tip has reached desired doneness (I like about 130 to 135°F).', 'Transfer to a cutting board, tent with foil and let rest 10 minutes (it should rise about 5 more degrees). Slice thin then serve.']",[],673b98e311e322a5d3ed8b55
Crock Pot Ham,"['8 lb. bone-in fully cooked spiral sliced half ham', '1/2 cup apple juice concentrate', '1/3 cup real maple syrup', '2 Tbsp spicy brown mustard', '1/2 tsp', '1 tsp orange zest', '1/3 cup packed light brown sugar', '1 tsp', '2 Tbsp mixed with 1/4 cup water (optional, for thickening)']","[""Place ham in a 6 or 7 quart slow cooker on it's side."", 'In a mixing bowl whisk together apple juice concentrate, maple syrup, mustard, orange zest and ginger.', 'Slowly pour juice mixture over ham while separating slices to pour mixture between each slice, then close slices back together. Turn ham then using a baster repeat pouring mixture (which is now at the bottom of the slow cooker) over other side and between slices then close slices back together.', 'Sprinkle brown sugar and pepper evenly over ham. Cover slow cooker with a large sheet of heavy duty aluminum foil wrapping it snuggly around all edges (or use the slow cooker lid if it fits).', 'Cook on low heat until just heated through, about 3 to 4 hours.', 'Remove the ham from slow cooker to a carving board and cover with foil to rest for about 10 minutes.', ""If you'd like a thicker glaze remove 1 3/4 cups juices from the slow cooker and transfer to a small saucepan."", 'Whisk together the cornstarch and water, pour into saucepan. Heat mixture over medium heat, stirring frequently until it simmers and thickens. Carve ham and pour desired amount of mixture over ham.', 'If you opted not to thicken the glaze mixture then just pour some of the juices from slow cooker over ham. Serve warm.']",[],673b98e311e322a5d3ed8b56
Beef Stew,"['2 1/4 lbs. trimmed of excess fat, cut into 1 1/4-inch cubes', 'and freshly ground black pepper', '3 1/2 Tbsp divided', '2 cups chopped (1 large)', '1 1/2 Tbsp minced (about 4 cloves)', '1/4 cup', '1.5 Tbsp', '1 cup dry red wine, such as Pinot Noir or Cotes du Rhone', '3 1/2 cups', '2 tsp', '1 Tbsp', '2 tsp minced', '2', '20 oz. red potatoes, scrubbed and rinsed clean', '14 oz. (about 4)', '1 Tbsp', '2 Tbsp minced']","['Move oven rack to lower third of the oven. Preheat oven to 300 degrees.', 'Heat 1 Tbsp olive oil in a large oven safe pot (such as an enameled dutch oven) over medium-high heat.', 'Dab half of the roast dry with paper towels, season lightly with salt and pepper then add to the pot leaving space between pieces.', 'Sear until browned on bottom, about 3 - 4 minutes. Turn and brown on opposite side, about 2 minutes longer. Transfer to a plate.', 'Add another 1/2 Tbsp oil to pot and repeat process (of drying, seasoning and searing) with remaining half of beef. Transfer second batch of beef to the plate as well.', 'Reduce heat to medium, add 2 Tbsp olive oil then add onions. Saute 5 minutes or until slightly golden brown.', 'Add garlic and saute 30 seconds longer. ', ""Stir in flour and tomatoes paste, and cook stirring constantly, about 45 to 60 seconds (reduce burner temp if needed so it doesn't burn)."", 'While stirring slowly pour in red wine, scrape up browned bits from the bottom of the pot. While stirring pour in beef broth and Worcestershire sauce.', 'Return beef to pot along with thyme, rosemary and bay leaves, stir. Bring to a simmer stirring frequently.', 'Remove from heat. Cover pot with the lid and transfer to the oven. Let cook 1 1/2 hours.', 'Once time is almost up cut the potatoes into 1-inch cubes, then peel and cut the carrots into 1-inch chunks (larger portions can be halved). Stir potatoes and carrots into stew then cover and return to the oven.', 'Bake until vegetables are tender, about 60 to 70 minutes longer.', 'Remove bay leaves, stir in balsamic vinegar and season stew with salt and pepper to taste. Let rest off heat for about 5 minutes before serving. Garnish servings with parsley.']",[],673b98e311e322a5d3ed8b57
